20181101,10,5,0,0
20181102,8,6,0,0
20181103,4,7,0,0
20181105,10,8,0,0
20181106,2,5,0,0
20181109,1,7,0,0
20181110,9,11,0,0
20181113,4,10,0,0
20181114,5,9,0,0
20181117,7,6,0,0
20181119,10,7,0,0
20181120,9,8,0,0
20181121,1,6,0,0
20181124,11,5,0,0
20181126,8,11,0,0
20181129,6,10,0,0
20181130,5,8,0,0
20181201,4,9,0,0
20181203,2,6,0,0
20181205,1,10,0,0
20181208,9,7,0,0
20181210,0,0,3,2
20181211,0,0,3,2
20181212,0,0,3,2
20181213,0,0,3,2
20181214,0,0,3,2
20181215,0,0,3,2
20181217,0,0,4,1
20181218,0,0,4,1
20181219,0,0,4,1
20181220,0,0,4,1
20181221,0,0,4,1
20181222,0,0,4,1
20181224,4,5,0,0
20181227,7,11,0,0
20181229,6,9,0,0
20181231,7,8,0,0
20190101,11,6,0,0
20190104,5,7,0,0
20190105,9,10,0,0
20190107,6,5,0,0
20190110,2,9,0,0
20190112,10,11,0,0
20190114,2,11,0,0
20190116,1,9,0,0
20190119,6,8,0,0
20190122,4,6,0,0
20190123,8,10,0,0
20190126,11,9,0,0
20190128,0,0,3,3
20190129,0,0,4,3
20190130,0,0,3,3
20190201,0,0,4,3
20190202,0,0,4,3
20190204,9,5,0,0
20190205,2,8,0,0
20190206,0,0,4,3
20190208,1,11,0,0
20190209,6,7,0,0
20190211,11,8,0,0
20190212,2,7,0,0
20190213,1,5,0,0
20190216,10,6,0,0
20190219,7,10,0,0
20190220,8,9,0,0
20190223,5,11,0,0
20190226,7,9,0,0
20190227,8,5,0,0
20190302,4,11,0,0
20190304,11,7,0,0
20190305,2,10,0,0
20190306,1,8,0,0
20190309,9,6,0,0
20190311,0,0,4,3
20190312,0,0,3,3
20190313,0,0,3,3
20190315,0,0,4,3
20190316,0,0,4,3
20190320,0,0,4,3
20190323,2,1,0,0
20190327,5,10,0,0
20190329,1,2,0,0
20190406,0,0,0,0
20190413,0,0,0,0
20190415,6,11,0,0
20190416,10,9,0,0
20190420,7,5,0,0
20190423,11,10,0,0
20190426,8,7,0,0
20190501,5,6,0,0
20190511,0,0,3,4
20190518,0,0,4,4
